t,y1,y2
0,0.5,5
0.1,1.44844910441241,4.36129314110965
0.2,2.21153050059347,3.91651164295362
0.3,2.83754720136927,3.61574033068763
0.4,3.36232340514006,3.4219634799494
0.5,3.81242905208843,3.30773159528716
0.6,4.20757115206358,3.25268949633277
0.7,4.56236719114868,3.24174314896373
0.8,4.88766028837936,3.26370018913069
0.9,5.19149451481918,3.31026173670686
1,5.47983818936917,3.37527472567781
1.1,5.75712027436848,3.4541774329972
1.2,6.02662816618206,3.54358828338637
1.3,6.29080269644599,3.64100090743558
1.4,6.55145690483692,3.74455799705106
1.5,6.80993828087862,3.85288359693794
1.6,7.06724908244209,3.96495873219107
1.7,7.32413556396317,4.08002917390202
1.8,7.58115414813764,4.19753703828806
1.9,7.83872049892258,4.31707006073842
2,8.09714591416379,4.43832397756263
2.1,8.35666431447131,4.56107462839829
2.2,8.61745225828233,4.68515726745104
2.3,8.87964378515287,4.81045122079789
2.4,9.14334142366883,4.93686850832657
2.5,9.4086243550448,5.06434540584457
2.6,9.67555446738224,5.19283618761898
2.7,9.9441808456496,5.322308485917
2.8,10.2145431015872,5.45273984971504
2.9,10.4866738433102,5.58411519271674
3,10.7606005069087,5.7164249008691
3.1,11.0363467149117,5.84966342897565
3.2,11.3139332838657,5.98382826001596
3.3,11.5933789717098,6.11891913344885
3.4,11.874701032179,6.25493747299908
3.5,12.1579156260945,6.39188596237478
3.6,12.4430381265337,6.52976823069883
3.7,12.7300833453,6.66858861929096
3.8,13.0190657010249,6.80835200879828
3.9,13.3099993439855,6.94906369106217
4,13.6028982488333,7.090729274179
4.1,13.8977762835124,7.23335461216164
4.2,14.194647260532,7.37694575286153
4.3,14.4935249751539,7.52150889941736
4.4,14.7944232338645,7.66705038175193
4.5,15.0973558756614,7.81357663550275
4.6,15.4023367879955,7.96109418648666
4.7,15.7093799187652,8.10960963925092
4.8,16.0184992853706,8.25912966866602
4.9,16.3297089816017,8.4096610137699
5,16.6430231829035,8.56121047329029
5.1,16.95845615047,8.71378490239085
5.2,17.2760222344254,8.8673912103605
5.3,17.5957358763705,9.02203635896853
5.4,17.9176116114503,9.17772736132871
5.5,18.2416640700317,9.3344712811545
5.6,18.5679079791624,9.49227523227056
5.7,18.8963581637927,9.65114637835569
5.8,19.2270295478837,9.81109193282177
5.9,19.559937155402,9.97211915882069
5.99999999999999,19.8950961112195,10.1342353693361
6.09999999999999,20.232521641991,10.29744792733
6.19999999999999,20.5722290769662,10.4617642459489
6.29999999999999,20.9142338487792,10.6271917887658
6.39999999999999,21.2585514942255,10.7937380700348
6.49999999999999,21.6051976550105,10.9614106549948
6.59999999999999,21.9541880785162,11.130217160155
6.69999999999999,22.3055386185277,11.3001652536278
6.79999999999999,22.6592652359815,11.4712626554449
6.89999999999999,23.0153839997081,11.6435171378953
6.99999999999999,23.3739110871741,11.8169365258636
7.09999999999999,23.7348627852215,11.9915286971801
7.19999999999999,24.0982554908161,12.1673015829662
7.29999999999999,24.4641057117935,12.3442631680001
7.39999999999999,24.8324300676245,12.5224214910655
7.49999999999999,25.2032452901624,12.7017846453167
7.59999999999999,25.5765682244027,12.8823607786494
7.69999999999999,25.9524158292595,13.0641580940615
7.79999999999999,26.3308051783272,13.2471848500305
7.89999999999999,26.7117534606645,13.4314493608882
7.99999999999999,27.0952779815709,13.616959997193
8.09999999999999,27.4813961633803,13.8037251861102
8.19999999999999,27.8701255462383,13.9917534117991
8.29999999999999,28.2614837889166,14.1810532157972
8.39999999999999,28.6554886696034,14.3716331974042
8.49999999999999,29.0521580867165,14.5635020140715
8.59999999999999,29.4515100597133,14.7566683818053
8.69999999999999,29.8535627299143,14.9511410755511
8.79999999999998,30.2583343613227,15.146928929599
8.89999999999998,30.6658433414567,15.3440408379801
8.99999999999998,31.07610818218,15.5424857548753
9.09999999999998,31.4891475205477,15.7422726950219
9.19999999999998,31.9049801196533,15.943410734118
9.29999999999998,32.323624869475,16.1459090092408
9.39999999999998,32.7451007877497,16.3497767192527
9.49999999999998,33.1694270208147,16.5550231252304
9.59999999999998,33.5966228444875,16.761657550884
9.69999999999998,34.0267076649497,16.9696893829684
9.79999999999998,34.4597010196151,17.179128071727
9.89999999999998,34.8956225780246,17.3899831313057
9.99999999999998,35.3344921427406,17.6022641401919
