t,y1,y2,H
0,0.4,0,-0.5
0.03,0.39719922220882,0.0597903803305113,-0.5
0.06,0.388903455895142,0.118760472723809,-0.5
0.09,0.37541679073975,0.176158536358155,-0.5
0.12,0.357198894562018,0.231354867922322,-0.5
0.15,0.334808865918002,0.283871214489558,-0.5
0.18,0.308848534199573,0.333385476329643,-0.5
0.21,0.279915307443499,0.379717509400298,-0.5
0.24,0.248569120932052,0.422804311600634,-0.499999999999999
0.27,0.215313347320438,0.462672002470402,-0.5
0.3,0.180586908618542,0.499409569663021,-0.5
0.33,0.144764086419719,0.533146871882494,-0.5
0.36,0.108158900931827,0.564037581698623,-0.5
0.39,0.0710317264762097,0.592246722264918,-0.5
0.42,0.0335966136500657,0.617942012434884,-0.5
0.45,-0.00397157646233785,0.641288149971603,-0.5
0.48,-0.0415306817494753,0.662443250466338,-0.5
0.51,-0.0789655731191237,0.681556808218379,-0.5
0.54,-0.11618333670715,0.698768696907901,-0.5
0.57,-0.153109246799637,0.714208858243147,-0.5
0.6,-0.189683437026289,0.727997429533301,-0.5
0.63,-0.225858168272005,0.740245138059667,-0.5
0.66,-0.261595596013413,0.751053845761554,-0.5
0.69,-0.29686595007505,0.760517167052178,-0.5
0.72,-0.331646052041571,0.768721109837591,-0.5
0.75,-0.365918107649704,0.775744708438311,-0.5
0.78,-0.399668722440465,0.781660629668855,-0.5
0.81,-0.432888098425155,0.786535741674302,-0.5
0.84,-0.465569377477009,0.790431640576554,-0.5
0.87,-0.497708103725696,0.79340513347153,-0.5
0.9,-0.529301782584815,0.795508678482999,-0.5
0.93,-0.56034951837418,0.79679078385994,-0.5
0.96,-0.59085171598775,0.797296368802968,-0.5
0.99,-0.620809834860938,0.797067089025888,-0.5
1.02,-0.650226185740164,0.79614163013864,-0.5
1.05,-0.679103762561927,0.794555971870205,-0.5
1.08,-0.707446103197342,0.792343625995824,-0.5
1.11,-0.735257173982505,0.78953585063252,-0.5
1.14,-0.762541273892536,0.786161843346428,-0.5
1.17,-0.789302954973379,0.782248915291406,-0.5
1.2,-0.815546956256812,0.777822648380765,-0.5
1.23,-0.841278148879457,0.772907037288676,-0.5
1.26,-0.866501490528961,0.767524617887763,-0.5
1.29,-0.89122198766809,0.761696583555868,-0.5
1.32,-0.91544466425495,0.755442890628044,-0.5
1.35,-0.939174535896347,0.748782354128911,-0.5
1.38,-0.96241658855087,0.741732734794511,-0.5
1.41,-0.985175761045891,0.734310818280727,-0.5
1.44,-1.00745693079446,0.726532487355708,-0.5
1.47,-1.02926490219861,0.718412787785524,-0.5
1.5,-1.05060439730893,0.709965988544097,-0.5
1.53,-1.07148004837949,0.701205636909361,-0.5
1.56,-1.09189639201463,0.692144608946453,-0.5
1.59,-1.11185786465228,0.682795155824661,-0.5
1.62,-1.13136879916844,0.673168946367029,-0.5
1.65,-1.150433422421,0.663277106189209,-0.5
1.68,-1.16905585357944,0.653130253746649,-0.5
1.71,-1.18724010311037,0.642738533575998,-0.5
1.74,-1.20499007230877,0.632111646987173,-0.5
1.77,-1.22230955328195,0.621258880436376,-0.5
1.8,-1.2392022293069,0.610189131787133,-0.5
1.83,-1.25567167549404,0.598910934645764,-0.5
1.86,-1.27172135970052,0.587432480939312,-0.5
1.89,-1.28735464364463,0.575761641887575,-0.5
1.92,-1.30257478418038,0.56390598750625,-0.5
1.95,-1.31738493469743,0.55187280476515,-0.5
1.98,-1.33178814661695,0.539669114513792,-0.5
2.01,-1.34578737095816,0.527301687276167,-0.5
2.04,-1.35938545995474,0.514777058007181,-0.5
2.07,-1.37258516870284,0.502101539894817,-0.5
2.1,-1.38538915682585,0.489281237284556,-0.5
2.13,-1.39779999014306,0.476322057795785,-0.5
2.16,-1.40982014233153,0.463229723693832,-0.5
2.19,-1.42145199657227,0.450009782575771,-0.5
2.22,-1.43269784717317,0.436667617423169,-0.5
2.25,-1.44355990116248,0.423208456070483,-0.5
2.28,-1.45404027984784,0.409637380133769,-0.5
2.31,-1.46414102033636,0.395959333440711,-0.5
2.34,-1.47386407701262,0.382179129999667,-0.5
2.37,-1.4832113229716,0.368301461542426,-0.5
2.4,-1.49218455140453,0.354330904672674,-0.5
2.43,-1.50078547693566,0.340271927649688,-0.5
