t,y1,y2,y3,y4,H
0,0.4,0,0,2,-0.5
0.0300056604927392,0.397195623945577,0.0598712462328249,-0.186313913696374,1.98603686959355,-0.499999996403376
0.0600113209854784,0.388809915886406,0.119254107792716,-0.368381478410181,1.94445886771849,-0.500578045816595
0.0900169814782176,0.375024857546646,0.176975092715458,-0.536601727341878,1.87852140776962,-0.503075651671729
0.120022641970957,0.356399988457484,0.232352119786846,-0.68658027303674,1.79342091206023,-0.506572028608014
0.150028302463696,0.333548591222074,0.284888150503694,-0.815977552958566,1.69485623969204,-0.510530922403985
0.180033962956435,0.307123320373294,0.334264682368065,-0.924410728564239,1.58820484403073,-0.514490307843523
0.210039623449174,0.277758961369463,0.38031974492633,-1.01290510521015,1.47800103510035,-0.518139362007946
0.240045283941914,0.246038408560588,0.423014773155582,-1.08332930043434,1.36773716165264,-0.521318111938484
0.270050944434653,0.212475835123733,0.462400359895791,-1.13792803797463,1.25989968165787,-0.523981488409007
0.300056604927392,0.177512417160114,0.498586614591969,-1.17899971525141,1.15612464446444,-0.526155186612709
0.330062265420131,0.141519560581127,0.531719978894234,-1.20870568275534,1.05738831683294,-0.527899456838659
0.36006792591287,0.10480587464096,0.561966289375507,-1.22897673845612,0.964185871407688,-0.529285204809273
0.390073586405609,0.0676254926657785,0.5894990228176,-1.24148215379405,0.876678863396918,-0.530380753837142
0.420079246898349,0.0301863840277641,0.614491498367296,-1.24763449727948,0.794808142771315,-0.531245888541658
0.450084907391088,-0.00734201568156238,0.637111949132462,-1.24861235147877,0.718376097594341,-0.531930146337848
0.480090567883827,-0.0448221245676326,0.657520601423804,-1.24539004491812,0.647104400920447,-0.53247325106318
0.510096228376566,-0.0821425317181519,0.675868119214611,-1.23876833597074,0.580673344745316,-0.532906430144035
0.540101888869305,-0.119213249461167,0.69229495259534,-1.22940300085721,0.518747865318923,-0.533253947210627
0.570107549362045,-0.155961791980734,0.706931267467673,-1.21783004117206,0.460994210945246,-0.533534538839519
0.600113209854784,-0.192329959584398,0.719897234977739,-1.20448719237564,0.407090169707059,-0.533762638539988
0.630118870347523,-0.228271212851178,0.731303531219611,-1.18973190228016,0.356730946977091,-0.53394936716896
0.660124530840262,-0.263748533275839,0.741251948031902,-1.17385616286749,0.309632158732274,-0.534103310662026
0.690130191333001,-0.298732681742707,0.74983605033961,-1.15709864480511,0.265530953120149,-0.534231119922062
0.720135851825741,-0.333200780636497,0.757141839067787,-1.13965457487704,0.224185950568451,-0.534337968727374
0.75014151231848,-0.367135158469318,0.763248394532967,-1.12168375338954,0.185376467530347,-0.53442790131779
0.780147172811219,-0.400522407169581,0.768228485795056,-1.10331705368069,0.148901333349584,-0.534504095633158
0.810152833303958,-0.433352611620255,0.772149138404133,-1.08466169048785,0.11457750317881,-0.534569062668616
0.840158493796698,-0.465618718807348,0.775072157467164,-1.06580549334358,0.0822385974971693,-0.534624797688597
0.870164154289437,-0.497316020267064,0.777054605790768,-1.04682037733372,0.0517334499742958,-0.534672895236401
0.900169814782176,-0.528441726633517,0.778149238576889,-1.02776516673122,0.0229247128099451,-0.534714636915368
0.930175475274915,-0.55899461720274,0.778404897133069,-1.00868789669686,-0.00431245289767837,-0.534751058661515
0.960181135767655,-0.588974750730271,0.777866864562026,-0.989627693582208,-0.0300915882800444,-0.534783002529607
0.990186796260394,-0.618383226326321,0.776577186588368,-0.970616314485892,-0.054516044860357,-0.534811156746364
1.02019245675313,-0.647221985434167,0.774574960678947,-0.951679410761241,-0.0776799908970558,-0.53483608684058
1.05019811724587,-0.675493647579426,0.771896596494786,-0.932837567413507,-0.0996693203983444,-0.534858259958603
1.08020377773861,-0.703201373944834,0.768576050527632,-0.914107160134582,-0.120562471142803,-0.534878063952215
1.11020943823135,-0.730348753924963,0.764645037556425,-0.895501063588647,-0.140431158912703,-0.534895822437889
1.14021509872409,-0.756939710701865,0.760133221329658,-0.877029238066161,-0.159341035397047,-0.534911806736759
1.17022075921683,-0.782978422598829,0.755068386652099,-0.85869921643093,-0.177352277087342,-0.534926245387942
1.20022641970957,-0.808469257549431,0.749476594836596,-0.840516509128113,-0.194520112128402,-0.534939331765051
1.23023208020231,-0.833416718489788,0.743382324278243,-0.822484941687459,-0.210895291602984,-0.534951230203039
1.26023774069505,-0.857825397865064,0.736808597720975,-0.804606936477194,-0.226524511190308,-0.534962080949649
1.29024340118779,-0.881699939753789,0.729777097616563,-0.786883748306616,-0.24145078858741,-0.534972004185146
1.32024906168053,-0.905045008369183,0.722308270822506,-0.769315661733836,-0.255713801545133,-0.534981103300134
1.35025472217326,-0.927865261906311,0.714421423747829,-0.751902156525815,-0.269350190862817,-0.534989467579956
1.380260382666,-0.950165330876153,0.706134808933038,-0.734642046574582,-0.282393832215464,-0.534997174412377
1.41026604315874,-0.971949800209729,0.697465703941329,-0.717533596643711,-0.294876080257781,-0.535004291110662
1.44027170365148,-0.993223194532663,0.688430483341212,-0.700574620561098,-0.306825988061417,-0.535010876425065
1.47027736414422,-1.01398996610773,0.679044684474855,-0.683762563854405,-0.318270504593725,-0.535016981800845
1.50028302463696,-1.03425448502353,0.669323067630376,-0.667094573317818,-0.329234652635812,-0.535022652429278
1.5302886851297,-1.05402103127448,0.65927967116907,-0.650567555581669,-0.339741689261855,-0.535027928128941
1.56029434562244,-1.07329378843328,0.648927862098956,-0.634178226413019,-0.349813250757272,-0.535032844087316
1.59030000611518,-1.09207683866355,0.63828038253344,-0.61792315219181,-0.359469483637373,-0.535037431487017
