mu,sigma
1,5.18122448089922
50.95,1826.99800005544
100.9,5450.60112159322
150.85,19463.483111901
200.8,35717.8042025083
250.75,53870.7792201815
300.7,47988.9792392555
350.65,72521.9854175981
400.6,96845.588268315
450.55,114757.436618845
500.5,186436.64172472
550.45,297934.76490016
600.4,214927.482962831
650.35,429508.494317838
700.3,289920.381891401
750.25,368876.36620171
800.2,527349.925597486
850.15,696885.425232482
900.1,572793.269411484
950.05,494996.638748041
1000,745862.368480482
