n,xn,fxn,absdx,dxratio,dxratiophi
0,1,0.5,NaN,NaN,NaN
1,2,0.4,1,NaN,NaN
2,6,0.162162162162162,4,4,4
3,8.72727272727273,0.113098425618507,2.72727272727273,0.681818181818181,0.289450990678071
4,15.0139983909895,0.0663103462501994,6.28672566371682,2.30513274336283,1.23994058089974
5,23.9238523787865,0.0417263846565162,8.90985398779698,1.41724873398234,0.454980300827704
6,39.0465572085784,0.0255936657692857,15.1227048297919,1.69730108377804,0.439244751504188
7,63.0378915674516,0.0158594836949996,23.9913343588732,1.58644466243962,0.296055966421716
8,102.125939559788,0.00979089282836945,39.0880479923362,1.62925693951156,0.228596223734617
9,165.189490419271,0.00605343204388837,63.0635508594831,1.61337171075536,0.16741607068293
10,267.331276403838,0.00374062481944523,102.141785984567,1.61966436384398,0.125054922317887
11,432.530561375948,0.00231196300122093,165.199284972109,1.61735261802716,0.0926933749586824
12,699.867890484652,0.00142883817362276,267.337329108704,1.61827170834207,0.06890440857005
13,1132.40219268941,0.000883077785109248,432.534302204755,1.61793455349769,0.0511629552022247
14,1832.27239509654,0.000545770216705193,699.870202407133,1.61806866840315,0.0380055175006245
15,2964.67601663549,0.000337304946852245,1132.40362153895,1.61801948081824,0.0282270979615925
16,4796.94929480755,0.000208465817561267,1832.27327817207,1.61803904837569,0.0209658475879271
17,7761.62585721389,0.000128838983197198,2964.67656240634,1.61803187206004,0.0155721362133665
18,12558.5754893263,7.9626864886824e-05,4796.94963211237,1.61803472693791,0.0115661240638447
19,20320.201555006,4.92121101688488e-05,7761.62606567975,1.61803367992877,0.00859064906392973
20,32878.7771731713,3.04147564189502e-05,12558.5756181652,1.61803409645004,0.00638064637716938
