n,xn,fxn,absdx,dxratio,dxratiophi
0,1,1,NaN,NaN,NaN
1,0.9,0.81,0.1,NaN,NaN
2,0.473684210526316,0.224376731301939,0.426315789473684,4.26315789473684,17.6915305482845
3,0.310344827586207,0.0963139120095125,0.163339382940109,0.383141762452107,0.648930312763093
4,0.1875,0.03515625,0.122844827586207,0.752083333333334,2.30463698842608
5,0.116883116883117,0.0136616630123124,0.0706168831168831,0.574846206425154,2.10068083105181
6,0.072,0.005184,0.0448831168831169,0.635586206896552,3.27030386266666
7,0.0445544554455446,0.00198509950004901,0.0274455445544554,0.611489273927393,4.16339252560008
8,0.0275229357798165,0.000757511993939904,0.017031519665728,0.620556813217364,5.72610118288485
9,0.0170132325141777,0.000289450080581473,0.0105097032656388,0.617073724007562,7.64684997779426
10,0.0105140186915888,0.000110544589047078,0.00649921382258891,0.618401267696863,10.3274883603334
11,0.00649819494584838,4.22265375542494e-05,0.00401582374574041,0.617893772287175,13.8880146529216
12,0.00401606425702811,1.61287721165788e-05,0.00248213068882026,0.61808755711778,18.7067660910244
13,0.00248207391064534,6.16069089790625e-06,0.00153399034638277,0.618013528978148,25.1816914891266
14,0.00153400374978694,2.3531675043604e-06,0.000948070160858395,0.618041803909648,33.9058876505078
15,0.000948066996734436,8.98831030297053e-07,0.000585936753052508,0.618031003656937,45.6484042284537
16,0.0005859375,3.4332275390625e-07,0.000362129496734436,0.618035128958678,61.4598166485624
17,0.000362129320403975,1.31137644696245e-07,0.000223808179596025,0.618033553229584,82.746783823373
18,0.000223808221221993,5.00901198865525e-08,0.000138321099181983,0.618034155103952,111.407184737948
19,0.000138321089355424,1.91327237604711e-08,8.54871318665692e-05,0.618033925208314,149.994187854723
20,8.5487134186305e-05,7.30805011138731e-09,5.28339551691188e-05,0.618034013020621,201.946339285738
21,5.28339546215034e-05,2.79142676094708e-09,3.26531795648015e-05,0.618033979479302,271.892617608871
22,3.2653179694076e-05,1.06623014413362e-09,2.01807749274274e-05,0.618033992290946,366.065578587372
23,2.01807748969099e-05,4.07263675439748e-10,1.24724047971661e-05,0.618033987397334,492.856346925752
24,1.24724048043703e-05,1.5556088160408e-10,7.70837009253955e-06,0.618033989266528,663.562478310746
25,7.70837009083886e-06,5.94189694573391e-11,4.76403471353147e-06,0.618033988552559,893.394520949196
26,4.76403471393295e-06,2.26960267555582e-11,2.94433537690591e-06,0.61803398882527,1202.83138060794
27,2.94433537681113e-06,8.66911081114157e-12,1.81969933712181e-06,0.618033988721104,1619.44504356396
28,1.81969933714419e-06,3.311305677603e-12,1.12463603966695e-06,0.618033988760892,2180.35735705732
29,1.12463603966166e-06,1.26480622170587e-12,6.95063297482524e-07,0.618033988745694,2935.54771911229
