n,xn,fxn,absdx,dxratio,dxratiophi
0,10,1001.58489319246,NaN,NaN,NaN
1,9,730.551845573915,1,NaN,NaN
2,6.30456543217527,252.036210284178,2.69543456782473,2.69543456782473,2.69543456782473
3,4.88486863766577,117.935766500864,1.4196967945095,0.526704232206691,0.285380028499874
4,3.63630431576208,49.3763834748482,1.24856432190368,0.879458435584519,0.708195665113714
5,2.73708982417402,21.7284365785509,0.899214491588067,0.720198772152193,0.627866267217609
6,2.03039991608533,9.5225413650901,0.706689908088687,0.785896929708761,0.83922737636905
7,1.47906928737037,4.3171081800186,0.551330628714958,0.780159193451746,0.966862912195542
8,1.02182511911438,2.07124216937197,0.457244168255989,0.829346574344572,1.19826301287129
9,0.600133264612991,1.11906451297405,0.421691854501392,0.922246545231621,1.49584645284973
10,0.104532063921182,0.637717695247147,0.495601200691809,1.17526861238002,2.00402365040926
11,-0.552070709437581,-1.05623257705514,0.656602773358763,1.32486114327853,2.04450855784607
12,-0.142657723267868,-0.680324886800269,0.409412986169713,0.62353222188724,0.808671307793151
13,0.598305685279644,1.11654525578081,0.740963408547512,1.8098190179057,3.14291367260549
14,0.137883332592256,0.675446775106949,0.460422352687388,0.621383387325347,0.747876117988788
15,-0.567153766684878,-1.07520379024695,0.705037099277135,1.5312833861388,2.47306974543261
16,-0.134138420041873,-0.671543777212214,0.433015346643005,0.614173845726658,0.762257102571208
17,0.586241979515994,1.1001807700577,0.720380399557867,1.66363710926804,2.79069209163531
18,0.138910217961242,0.676504981687034,0.447331761554752,0.620966036595807,0.760500391465208
19,-0.575367476127499,-1.08581631335869,0.71427769408874,1.59675157338747,2.62518582827137
20,-0.135280657287998,-0.672741676338445,0.440086818839501,0.616128464435606,0.758553784988865
21,0.581453602593536,1.09381105798494,0.716734259881534,1.62862014765983,2.70473805622979
22,0.137667326722556,0.675223534648357,0.443786275870981,0.619178265518286,0.760692744517298
23,-0.578204315684441,-1.08952877299003,0.715871642406997,1.61310000180158,2.66513881069
24,-0.136237049913411,-0.673739602908093,0.44196726577103,0.617383396114127,0.759052388152962
25,0.579921213853462,1.09178748397078,0.716158263766873,1.62038756991993,2.68398368225093
26,0.137054811670328,0.674589270954981,0.442866402183134,0.61839180609846,0.760104122102272
27,-0.579038675930165,-1.09062531610059,0.716093487600493,1.61695148710869,2.67493025701955
28,-0.136605392181601,-0.674122725216882,0.442433283748564,0.617842909354032,0.759471894591262
