n,xn,fxn,absdx,dxratio,dxratiophi
0,1,0.999999,NaN,NaN,NaN
1,2,0.499999,1,NaN,NaN
2,2.999998,0.333332555555704,0.999998,0.999998,0.999998
3,4.999992000004,0.199999320000352,1.999994000004,1.999998,2.00000047213748
4,7.999975000038,0.124999390625627,2.999983000034,1.499996000002,0.977336542309282
5,12.999927000231,0.0769225088767984,4.999952000193,1.66666011111941,0.845223201912493
6,20.999798001178,0.047618505670669,7.999871000947,1.59998956002742,0.591742150662041
7,33.999452005568,0.0294112387571492,12.99965400439,1.62498295320651,0.449482544407087
8,54.9985360251217,0.0181813021533379,20.9990840195537,1.61535714815659,0.33099455413138
9,88.9961181106037,0.011235445153228,33.997582085482,1.61900309812678,0.246651024004852
10,143.989759479517,0.00694393833182804,54.9936413689137,1.61757507432853,0.182968998508992
11,232.97306306048,0.00429134172768034,88.9833035809623,1.61806531384303,0.135963954077607
12,376.929276804682,0.00265201758589101,143.956213744202,1.61778904525861,0.100967817124379
13,609.814525496987,0.00163884286728005,232.885248692305,1.61775058286906,0.0749983679236068
14,986.513945353588,0.00101267041460481,376.699419856601,1.6175323339363,0.0557030237330921
15,1595.72688031709,0.00062567365721212,609.212934963505,1.61723884574979,0.0413734493166672
16,2580.66661885027,0.000386496778040054,984.93973853318,1.61674134281503,0.0307297183440551
17,4172.27546007453,0.000238677367798275,1591.60884122426,1.61594540148675,0.0228243159736831
18,6742.17482692034,0.000147320093392887,2569.89936684581,1.61465512146129,0.0169525911475928
19,10886.320076417,9.08584051341921e-05,4144.14524949664,1.61257102241439,0.0125914223627976
20,17555.0974301603,5.596351182204e-05,6668.77735374332,1.60920454092514,0.00935219355812038
21,28250.3070969799,3.43978452895086e-05,10695.2096668196,1.60377369036262,0.00694628418817781
22,45309.4676336208,2.10704424974964e-05,17059.1605366409,1.59502815447972,0.00515931942821549
23,72279.7683555502,1.2835130116645e-05,26970.3007219294,1.58098639519809,0.00383207907578041
24,114314.2781643,7.74781362449526e-06,42034.5098087494,1.55854805781128,0.00284630988106675
25,178331.436974402,4.6075362648681e-06,64017.1588101027,1.52296670286798,0.00211419361861538
26,272259.885646971,2.67296121359818e-06,93928.4486725685,1.46723863442914,0.00157052994570788
27,402038.825983462,1.48732195840492e-06,129778.940336491,1.38167873706609,0.00116694239114815
28,564839.666842533,7.70413904515635e-07,162800.840859071,1.25444729658726,0.00086759775229227
29,739791.016299733,3.51733094843153e-07,174951.3494572,1.07463418821434,0.000646070199811825
30,886767.371962426,1.27691468605784e-07,146976.355662693,0.840098439473019,0.000483091157715004
31,970535.852936633,3.03586384513413e-08,83768.4809742065,0.569945285393068,0.000365004818651314
32,996663.697195129,3.34747098169601e-09,26127.8442584968,0.311905432146274,0.00028274294258344
33,999901.698683509,9.83109805895205e-11,3238.00148837991,0.123929148396042,0.000230809309590898
34,999999.672037042,3.2796306547112e-13,97.9733535327741,0.0302573528407467,0.00020481436181295
35,999999.999967761,3.22391327636827e-17,0.327930718720637,0.00334714192069517,0.000196834727813377
36,1000000,0,3.22391221892201e-05,9.83107722112625e-05,0.000195823237797737
