n,Yn
0,1900
1,2000
2,2120
3,2216
4,2244.8
5,2181.44
6,2032.832
7,1841.3696
8,1675.06688
9,1605.476864
10,1679.7780992
11,1897.02834176
12,2198.917296128
13,2481.6171229184
14,2628.21006589952
15,2552.83757111706
16,2241.25554893128
17,1770.85490273583
18,1298.03216620696
19,1011.43201588954
