n,xn,fxn,absdx,dxratio,dxratiophi
0,1,1.21828182845905,NaN,NaN,NaN
1,0.9,1.05460311115695,0.1,NaN,NaN
2,0.255687087154703,0.258660641883388,0.644312912845297,6.44312912845297,26.7381172870219
3,0.0463021151950771,0.0463188529010279,0.209384971959626,0.324974042557952,0.426415828511447
4,0.000628243074269758,0.000628243115603059,0.0456738721208073,0.218133477743638,0.573325263911866
5,2.30100540852922e-07,2.30100540852924e-07,0.000628012973728905,0.0137499393979081,0.0926129291699178
6,1.5144293943392e-14,1.5144293943392e-14,2.30100525708628e-07,0.00036639454172798,0.0349070560884068
7,1.3252863207713e-28,1.3252863207713e-28,1.51442939433918e-14,6.58159901927768e-08,0.000833473807119271
