t,err
0,1.00000008274037e-10
0.0600600600600601,1.6501531139258e-10
0.12012012012012,3.46798618327909e-10
0.18018018018018,6.87269223883157e-10
0.24024024024024,1.26984951664825e-09
0.3003003003003,1.90262462814436e-09
0.36036036036036,1.92193058618647e-09
0.42042042042042,1.41929699943754e-09
0.48048048048048,8.2223514713542e-10
0.540540540540541,4.22629233650212e-10
0.600600600600601,2.17070723950713e-10
0.660660660660661,1.25691280006266e-10
0.720720720720721,1.02458134915331e-10
0.780780780780781,1.16026859927598e-10
0.840840840840841,1.30245575699057e-10
0.900900900900901,1.2647375055374e-10
0.960960960960961,1.13506312655036e-10
1.02102102102102,1.13573942123418e-10
1.08108108108108,1.21459419122559e-10
1.14114114114114,1.20241426992183e-10
1.2012012012012,1.08343279120239e-10
1.26126126126126,9.5187013478104e-11
1.32132132132132,9.57104951088818e-11
1.38138138138138,1.14689480304478e-10
1.44144144144144,1.3531854660272e-10
1.5015015015015,1.38568319662985e-10
1.56156156156156,1.25124475202716e-10
1.62162162162162,1.18862665751237e-10
1.68168168168168,1.26379764906848e-10
1.74174174174174,1.28719803538906e-10
1.8018018018018,1.18895758778397e-10
1.86186186186186,1.0378376849871e-10
1.92192192192192,9.77430575985732e-11
1.98198198198198,1.12288177053089e-10
2.04204204204204,1.36740278610273e-10
2.1021021021021,1.48624950148608e-10
2.16216216216216,1.38795612080373e-10
2.22222222222222,1.26489302140097e-10
2.28228228228228,1.30937447588905e-10
2.34234234234234,1.36519478504162e-10
2.4024024024024,1.29743435146249e-10
2.46246246246246,1.14205458797496e-10
2.52252252252252,1.02473042483865e-10
2.58258258258258,1.1007137964331e-10
2.64264264264264,1.35279431321691e-10
2.7027027027027,1.55740714938013e-10
2.76276276276276,1.53396135925729e-10
2.82282282282282,1.37580242418458e-10
2.88288288288288,1.35931385081685e-10
2.94294294294294,1.43446134890893e-10
3.003003003003,1.40529625798308e-10
3.06306306306306,1.25994030660124e-10
3.12312312312312,1.10185311468304e-10
3.18318318318318,1.094376682942e-10
3.24324324324324,1.31517986478864e-10
3.3033033033033,1.58898578197736e-10
3.36336336336336,1.67017960485884e-10
3.42342342342342,1.52348980015912e-10
3.48348348348348,1.42747130511547e-10
3.54354354354354,1.49486901275332e-10
3.6036036036036,1.50815930577052e-10
3.66366366366366,1.38631121876995e-10
3.72372372372372,1.20635770067378e-10
3.78378378378378,1.11763327266847e-10
3.84384384384384,1.26725861641306e-10
3.9039039039039,1.57493471437381e-10
3.96396396396396,1.77299290653679e-10
